id,term,before_example,after_example,after_ko,after_en,after_ja
a1_0001,"allá","La palabra ""allá"" aparece en la lista.","Mi casa está allá, cerca del río.","우리 집은 저기 강 근처에 있어요.","My house is over there, near the river.","私の家はあそこ、川の近くにあります。"
a1_0002,"animal","La palabra ""animal"" aparece en la lista.","El perro es mi animal favorito.","개는 내가 가장 좋아하는 동물이에요.","The dog is my favorite animal.","犬は私の一番好きな動物です。"
a1_0003,"año","La palabra ""año"" aparece en la lista.","Este año quiero viajar a México.","올해는 멕시코에 여행 가고 싶어요.","This year I want to travel to Mexico.","今年はメキシコへ旅行したいです。"
a1_0004,"árbol","La palabra ""árbol"" aparece en la lista.","Hay un árbol grande en el parque.","공원에 큰 나무가 한 그루 있어요.","There is a big tree in the park.","公園に大きな木が一本あります。"
a1_0005,"bajo","La palabra ""bajo"" aparece en la lista.","El precio del menú es muy bajo.","메뉴 가격이 아주 낮아요.","The price of the menu is very low.","メニューの値段はとても安いです。"
a1_0006,"bastante","La palabra ""bastante"" aparece en la lista.","La sopa está bastante caliente.","수프가 꽤 뜨거워요.","The soup is quite hot.","スープはかなり熱いです。"
a1_0007,"biblioteca","La palabra ""biblioteca"" aparece en la lista.","Estudio con mis amigos en la biblioteca.","친구들과 도서관에서 공부해요.","I study with my friends at the library.","友達と図書館で勉強します。"
a1_0008,"budista","La palabra ""budista"" aparece en la lista.","Mi vecino es budista y muy tranquilo.","내 이웃은 불교도이고 아주 온화해요.","My neighbor is Buddhist and very calm.","私の隣人は仏教徒でとても穏やかです。"
a1_0009,"caliente","La palabra ""caliente"" aparece en la lista.","El café está muy caliente todavía.","커피가 아직 아주 뜨거워요.","The coffee is still very hot.","コーヒーはまだとても熱いです。"
a1_0010,"cantante","La palabra ""cantante"" aparece en la lista.","La cantante canta en el teatro esta noche.","그 가수는 오늘 밤 극장에서 노래해요.","The singer sings at the theater tonight.","その歌手は今夜劇場で歌います。"
a1_0011,"capital","La palabra ""capital"" aparece en la lista.","Madrid es la capital de España.","마드리드는 스페인의 수도예요.","Madrid is the capital of Spain.","マドリードはスペインの首都です。"
a1_0012,"catedral","La palabra ""catedral"" aparece en la lista.","La catedral de Sevilla es enorme.","세비야 대성당은 아주 커요.","The cathedral of Seville is huge.","セビリアの大聖堂はとても大きいです。"
a1_0013,"claro","La palabra ""claro"" aparece en la lista.","El cielo está claro esta tarde.","오늘 오후는 하늘이 맑아요.","The sky is clear this afternoon.","今日の午後は空が晴れています。"
a1_0014,"conductor","La palabra ""conductor"" aparece en la lista.","El conductor del autobús es muy amable.","버스 운전사가 아주 친절해요.","The bus driver is very kind.","バスの運転手はとても親切です。"
a1_0015,"costar","La palabra ""costar"" aparece en la lista.","¿Cuánto puede costar este libro?","이 책은 값이 얼마나 할까요?","How much can this book cost?","この本はいくらくらいしますか。"
a1_0016,"cristiano","La palabra ""cristiano"" aparece en la lista.","Mi abuelo es cristiano y va a misa.","할아버지는 기독교인이라 미사에 가세요.","My grandfather is Christian and goes to mass.","祖父はキリスト教徒でミサに行きます。"
a1_0017,"en","La palabra ""en"" aparece en la lista.","Las llaves están en la mesa.","열쇠는 탁자 위에 있어요.","The keys are on the table.","鍵はテーブルの上にあります。"
a1_0018,"Este","La palabra ""Este"" aparece en la lista.","El sol sale por el Este.","해는 동쪽에서 떠요.","The sun rises in the east.","太陽は東から昇ります。"
a1_0019,"flor","La palabra ""flor"" aparece en la lista.","Esta flor amarilla es para ti.","이 노란 꽃은 너를 위한 거야.","This yellow flower is for you.","この黄色い花はあなたへのものです。"
a1_0020,"foto","La palabra ""foto"" aparece en la lista.","Hago una foto de la playa.","해변 사진을 한 장 찍어요.","I take a photo of the beach.","ビーチの写真を一枚撮ります。"
a1_0021,"gente","La palabra ""gente"" aparece en la lista.","Hay mucha gente en la plaza.","광장에 사람들이 많아요.","There are many people in the square.","広場には人がたくさんいます。"
a1_0022,"gris","La palabra ""gris"" aparece en la lista.","El cielo está gris hoy.","오늘은 하늘이 회색이에요.","The sky is gray today.","今日は空が灰色です。"
a1_0023,"haber","La palabra ""haber"" aparece en la lista.","Va a haber una fiesta el viernes.","금요일에 파티가 있을 거예요.","There is going to be a party on Friday.","金曜日にパーティーがあります。"
a1_0024,"hermoso","La palabra ""hermoso"" aparece en la lista.","El jardín de mi abuela es hermoso.","할머니의 정원은 아름다워요.","My grandmother's garden is beautiful.","祖母の庭は美しいです。"
a1_0025,"hora","La palabra ""hora"" aparece en la lista.","La clase dura una hora.","수업은 한 시간 동안 해요.","The class lasts one hour.","授業は1時間続きます。"
a1_0026,"iglesia","La palabra ""iglesia"" aparece en la lista.","La iglesia está en el centro del pueblo.","교회는 마을 중심에 있어요.","The church is in the center of the town.","教会は町の中心にあります。"
a1_0027,"interesante","La palabra ""interesante"" aparece en la lista.","Esta novela es muy interesante.","이 소설은 아주 흥미로워요.","This novel is very interesting.","この小説はとても面白いです。"
a1_0028,"ir","La palabra ""ir"" aparece en la lista.","Quiero ir al cine contigo.","너와 함께 영화관에 가고 싶어.","I want to go to the movies with you.","あなたと映画館に行きたいです。"
a1_0029,"judío","La palabra ""judío"" aparece en la lista.","El museo judío abre los domingos.","유대 박물관은 일요일마다 열어요.","The Jewish museum opens on Sundays.","ユダヤ博物館は日曜日に開きます。"
a1_0030,"kilómetro","La palabra ""kilómetro"" aparece en la lista.","La playa está a un kilómetro de aquí.","해변은 여기서 1킬로미터 떨어져 있어요.","The beach is one kilometer from here.","ビーチはここから1キロメートルです。"
a1_0031,"lento","La palabra ""lento"" aparece en la lista.","El tren de la costa es muy lento.","해안선 기차는 아주 느려요.","The coastal train is very slow.","海岸沿いの列車はとても遅いです。"
